,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
1100,"341 Eastern Pkwy, Brooklyn, NY 11216, USA",40.6710895,-73.957572,ROOFTOP,ChIJNyBUa3VbwokRVc6a2nKHkSU,premise,11216,"341 Eastern Parkway, Brooklyn, NY",1,OK
1101,"80-10 Northern Blvd, Queens, NY 11372, USA",40.7551775,-73.8868993,ROOFTOP,ChIJg_L9PKdfwokR6xVw8MF2mbI,subpremise,11372,"80-10 Northern Boulevard, ground floor, Queens, NY",1,OK
1102,"90-18 Sutphin Blvd, Jamaica, NY 11435, USA",40.702451,-73.808505,ROOFTOP,ChIJ27YQGsVgwokRh7CZU5TxwjQ,street_address,11435,"90-18 Sutphin Boulevard, Queens, NY",1,OK
1103,"308 Graham Ave, Brooklyn, NY 11211, USA",40.7130162,-73.9438907,ROOFTOP,ChIJEyNT8FZZwokRJ7DD4KIhTwg,premise,11211,"308 Graham Avenue, Brooklyn, NY",1,OK
1104,"343 W 145th St, New York, NY 10031, USA",40.8239401,-73.9438256,ROOFTOP,ChIJ8XeFcHz2wokRf1UA185aTNc,street_address,10031,"343 West 145th St, Manhattan, NY",1,OK
1105,"1545 Inwood Ave, Bronx, NY 10452, USA",40.844098,-73.916647,ROOFTOP,ChIJtzpBIT70wokRlybAq_l4St0,premise,10452,"1545 Inwood Ave, Bronx, NY",1,OK
1106,"459 E 149th St, Bronx, NY 10455, USA",40.8154183,-73.9151832,ROOFTOP,ChIJuboiYsj1wokREYDxbryYNMM,street_address,10455,"459 East 149th Street, Bronx, NY",1,OK
1107,"105-04 Sutphin Blvd, Jamaica, NY 11435, USA",40.69524699999999,-73.8036292,ROOFTOP,ChIJi9SjeNFgwokReWRK39j5tWA,premise,11435,"105-04 Sutphin Blvd, Queens, NY",1,OK
1108,"121 Dekalb Ave, Brooklyn, NY 11201, USA",40.691265,-73.9777743,ROOFTOP,ChIJmZydD7RbwokRGFS2ND7G9uM,premise,11201,"121 Dekalb Avenue, Brooklyn, NY",1,OK
1109,"1824 Madison Ave, New York, NY 10035, USA",40.8018633,-73.9437432,ROOFTOP,ChIJJ7nO5Q72wokREmrkUUfUNlY,premise,10035,"1824 Madison Avenue, Manhattan, NY",1,OK
1110,"111-14 76th Ave, Forest Hills, NY 11375, USA",40.7163954,-73.8368936,ROOFTOP,ChIJYZk6L59gwokRtt1wxrVx-8w,premise,11375,"111-14 76th Avenue, Queens, NY",1,OK
1111,"104 Vermilyea Ave b, New York, NY 10034, USA",40.8664038,-73.9223421,ROOFTOP,EiwxMDQgVmVybWlseWVhIEF2ZSBiLCBOZXcgWW9yaywgTlkgMTAwMzQsIFVTQSIdGhsKFgoUChIJr9xIuPfzwokR7BGqxJWFacgSAWI,subpremise,10034,"104 Vermilyea Avenue, Suite B, Manhattan, NY",1,OK
1112,"2119 W 6th St, Brooklyn, NY 11223, USA",40.5959943,-73.9770915,ROOFTOP,ChIJ7zavqvhEwokR6wv7mCj05fY,premise,11223,"2119 West 6th Street, Brooklyn, NY",1,OK
1113,"960 Southern Blvd, Bronx, NY 10459, USA",40.8219631,-73.8913436,ROOFTOP,ChIJVYKoJFX0wokRMLAQQh6HMho,street_address,10459,"960 Southern Boulevard, Bronx, NY",1,OK
1114,"890 Hunts Point Ave, Bronx, NY 10474, USA",40.8193276,-73.8892944,ROOFTOP,ChIJ02rKmKr1wokRlVvJlT0bsdQ,premise,10474,"890 Hunts Point Avenue, Bronx, NY",1,OK
1115,"3209 3rd Ave., Bronx, NY 10451, USA",40.8232045,-73.9098355,ROOFTOP,ChIJORd6LrX1wokRjwy0qmiZ3_E,premise,10451,"3209 Third Avenue, Bronx, NY",1,OK
1116,"866 E Tremont Ave, Bronx, NY 10460, USA",40.8429218,-73.8863683,ROOFTOP,ChIJGcXWUIr0wokRrVyhNP06Xmw,street_address,10460,"866 East Tremont Ave, Bronx, NY",1,OK
1117,"37-16 108th St, Corona, NY 11368, USA",40.7536437,-73.8605345,ROOFTOP,ChIJoargacFfwokRspgaNfoAinw,premise,11368,"37-16 108th Street, Queens, NY",1,OK
1118,"1054 Simpson St, Bronx, NY 10459, USA",40.8248141,-73.89282589999999,ROOFTOP,ChIJt2AGR1T0wokRP_2MZsiYv_g,street_address,10459,"1054 Simpson Street, Bronx, NY",1,OK
1119,"1764 Westchester Ave, Bronx, NY 10472, USA",40.8311689,-73.8676806,ROOFTOP,ChIJzwyro-n0wokRqdIlXWIKPzM,premise,10472,"1764 Westchester Avenue, Bronx, NY",1,OK
1120,"169 W 133rd St, New York, NY 10030, USA",40.8139021,-73.94394980000001,ROOFTOP,ChIJQcARY3H2wokR0omiY5oeTKQ,premise,10030,"169 W. 133rd Street, Manhattan, NY",1,OK
1121,"167 E Merrick Rd, Valley Stream, NY 11580, USA",40.6634994,-73.6921105,ROOFTOP,ChIJbWykeY9kwokRb7TNxptd7CY,subpremise,11580,"167 East Merrick Road, Queens, NY",2,OK
1122,"229 Chrystie St, New York, NY 10002, USA",40.7233886,-73.99149799999999,ROOFTOP,ChIJtS_pToRZwokRDNKRGN_o3ek,street_address,10002,"229 Chrystie Street, Manhattan, NY",1,OK
1123,"49-02 Queens Blvd, Flushing, NY 11377, USA",40.7424213,-73.9158234,ROOFTOP,ChIJ2bDV-d5ewokRQLRWCJnUhyc,premise,11377,"49-02 Queens Boulevard, Queens, NY",1,OK
1124,"770 E 176th St 2nd Floor, Bronx, NY 10460, USA",40.8420202,-73.8903018,ROOFTOP,Ei43NzAgRSAxNzZ0aCBTdCAybmQgRmxvb3IsIEJyb254LCBOWSAxMDQ2MCwgVVNBIiUaIwoWChQKEgnZXfNHYPTCiRHWvknSQXZrAhIJMm5kIEZsb29y,subpremise,10460,"770 East 176th Street, 2nd Floor, Bronx, NY",1,OK
1125,"88-12 Queens Blvd #1, Queens, NY 11373, USA",40.7345352,-73.8750999,ROOFTOP,Eis4OC0xMiBRdWVlbnMgQmx2ZCAjMSwgUXVlZW5zLCBOWSAxMTM3MywgVVNBIh0aGwoWChQKEgld-zt3Tl7CiRGsQk9MAwoH5hIBMQ,subpremise,11373,"88-12 Queens Boulevard, Suite 1, Queens, NY",1,OK
